"","Store","Dept","Date","Weekly_Sales","IsHoliday"
"1",1,1,"2010-02-05",24924.5,FALSE
"2",1,1,"2010-02-12",46039.49,TRUE
"3",1,1,"2010-02-19",41595.55,FALSE
"4",1,1,"2010-02-26",19403.54,FALSE
"5",1,1,"2010-03-05",21827.9,FALSE
"6",1,1,"2010-03-12",21043.39,FALSE
"7",1,1,"2010-03-19",22136.64,FALSE
"8",1,1,"2010-03-26",26229.21,FALSE
"9",1,1,"2010-04-02",57258.43,FALSE
"10",1,1,"2010-04-09",42960.91,FALSE
"11",1,1,"2010-04-16",17596.96,FALSE
"12",1,1,"2010-04-23",16145.35,FALSE
"13",1,1,"2010-04-30",16555.11,FALSE
"14",1,1,"2010-05-07",17413.94,FALSE
"15",1,1,"2010-05-14",18926.74,FALSE
"16",1,1,"2010-05-21",14773.04,FALSE
"17",1,1,"2010-05-28",15580.43,FALSE
"18",1,1,"2010-06-04",17558.09,FALSE
"19",1,1,"2010-06-11",16637.62,FALSE
"20",1,1,"2010-06-18",16216.27,FALSE
"21",1,1,"2010-06-25",16328.72,FALSE
"22",1,1,"2010-07-02",16333.14,FALSE
"23",1,1,"2010-07-09",17688.76,FALSE
"24",1,1,"2010-07-16",17150.84,FALSE
"25",1,1,"2010-07-23",15360.45,FALSE
"26",1,1,"2010-07-30",15381.82,FALSE
"27",1,1,"2010-08-06",17508.41,FALSE
"28",1,1,"2010-08-13",15536.4,FALSE
"29",1,1,"2010-08-20",15740.13,FALSE
"30",1,1,"2010-08-27",15793.87,FALSE
"31",1,1,"2010-09-03",16241.78,FALSE
"32",1,1,"2010-09-10",18194.74,TRUE
"33",1,1,"2010-09-17",19354.23,FALSE
"34",1,1,"2010-09-24",18122.52,FALSE
"35",1,1,"2010-10-01",20094.19,FALSE
"36",1,1,"2010-10-08",23388.03,FALSE
"37",1,1,"2010-10-15",26978.34,FALSE
"38",1,1,"2010-10-22",25543.04,FALSE
"39",1,1,"2010-10-29",38640.93,FALSE
"40",1,1,"2010-11-05",34238.88,FALSE
"41",1,1,"2010-11-12",19549.39,FALSE
"42",1,1,"2010-11-19",19552.84,FALSE
"43",1,1,"2010-11-26",18820.29,TRUE
"44",1,1,"2010-12-03",22517.56,FALSE
"45",1,1,"2010-12-10",31497.65,FALSE
"46",1,1,"2010-12-17",44912.86,FALSE
"47",1,1,"2010-12-24",55931.23,FALSE
"48",1,1,"2010-12-31",19124.58,TRUE
"49",1,1,"2011-01-07",15984.24,FALSE
"50",1,1,"2011-01-14",17359.7,FALSE
"51",1,1,"2011-01-21",17341.47,FALSE
"52",1,1,"2011-01-28",18461.18,FALSE
"53",1,1,"2011-02-04",21665.76,FALSE
"54",1,1,"2011-02-11",37887.17,TRUE
"55",1,1,"2011-02-18",46845.87,FALSE
"56",1,1,"2011-02-25",19363.83,FALSE
"57",1,1,"2011-03-04",20327.61,FALSE
"58",1,1,"2011-03-11",21280.4,FALSE
"59",1,1,"2011-03-18",20334.23,FALSE
"60",1,1,"2011-03-25",20881.1,FALSE
"61",1,1,"2011-04-01",20398.09,FALSE
"62",1,1,"2011-04-08",23873.79,FALSE
"63",1,1,"2011-04-15",28762.37,FALSE
"64",1,1,"2011-04-22",50510.31,FALSE
"65",1,1,"2011-04-29",41512.39,FALSE
"66",1,1,"2011-05-06",20138.19,FALSE
"67",1,1,"2011-05-13",17235.15,FALSE
"68",1,1,"2011-05-20",15136.78,FALSE
"69",1,1,"2011-05-27",15741.6,FALSE
"70",1,1,"2011-06-03",16434.15,FALSE
"71",1,1,"2011-06-10",15883.52,FALSE
"72",1,1,"2011-06-17",14978.09,FALSE
"73",1,1,"2011-06-24",15682.81,FALSE
"74",1,1,"2011-07-01",15363.5,FALSE
"75",1,1,"2011-07-08",16148.87,FALSE
"76",1,1,"2011-07-15",15654.85,FALSE
"77",1,1,"2011-07-22",15766.6,FALSE
"78",1,1,"2011-07-29",15922.41,FALSE
"79",1,1,"2011-08-05",15295.55,FALSE
"80",1,1,"2011-08-12",14539.79,FALSE
"81",1,1,"2011-08-19",14689.24,FALSE
"82",1,1,"2011-08-26",14537.37,FALSE
"83",1,1,"2011-09-02",15277.27,FALSE
"84",1,1,"2011-09-09",17746.68,TRUE
"85",1,1,"2011-09-16",18535.48,FALSE
"86",1,1,"2011-09-23",17859.3,FALSE
"87",1,1,"2011-09-30",18337.68,FALSE
"88",1,1,"2011-10-07",20797.58,FALSE
"89",1,1,"2011-10-14",23077.55,FALSE
"90",1,1,"2011-10-21",23351.8,FALSE
"91",1,1,"2011-10-28",31579.9,FALSE
"92",1,1,"2011-11-04",39886.06,FALSE
"93",1,1,"2011-11-11",18689.54,FALSE
"94",1,1,"2011-11-18",19050.66,FALSE
"95",1,1,"2011-11-25",20911.25,TRUE
"96",1,1,"2011-12-02",25293.49,FALSE
"97",1,1,"2011-12-09",33305.92,FALSE
"98",1,1,"2011-12-16",45773.03,FALSE
"99",1,1,"2011-12-23",46788.75,FALSE
"100",1,1,"2011-12-30",23350.88,TRUE
